,team,This matches from B to L,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,,Team,This matches from L to B,,This matches from B to L
157,Arkansas St.,#N/A,108.6752524,108.1398621,17.6,40.9,31.9,50.2,0.535390318,-7.500361906,,Arizona,Arizona,,Arkansas St.
174,Georgetown,Georgetown,107.7372702,109.0141729,19.5,27.6,30.5,48.5,-1.276902729,-7.620510665,,Campbell,Campbell,,Georgetown
188,Bowling Green,Bowling Green,102.3362231,104.7079084,16,25.9,34.1,52.5,-2.371685385,-7.709378085,,St. John's,St. John's,,Bowling Green
161,Oregon St.,#N/A,104.0643107,103.8898259,19.7,36.5,32.6,49.9,0.17448485,-7.726914242,,IUPUI,IUPUI,,Oregon St.
167,UNC Asheville,#N/A,108.5563202,109.0554828,18.6,36.1,30.2,48.5,-0.4991626,-7.765639186,,UT Arlington,UT Arlington,,UNC Asheville
177,Marshall,Marshall,100.8982326,102.3310156,16.9,30.4,33.2,47.4,-1.432782997,-7.789597628,,Boston University,Boston University,,Marshall
162,Cal St. Northridge,#N/A,102.0041612,101.8525792,19.5,41.6,29.2,52.2,0.151581976,-7.843134995,,UCF,UCF,,Cal St. Northridge
178,East Carolina,East Carolina,107.0153053,108.5683349,15.9,34,32.2,49.6,-1.553029613,-7.885548064,,Western Carolina,Western Carolina,,East Carolina
185,Fairfield,Fairfield,103.8623475,106.1300985,17.7,26.5,32.4,50.4,-2.26775095,-7.91467808,,Kentucky,Kentucky,,Fairfield
173,Bryant,Bryant,98.98161566,100.1268224,16.3,37,30.9,47.9,-1.145206745,-7.931476114,,Georgia Tech,Georgia Tech,,Bryant
154,UC Davis,UC Davis,101.6194956,100.7312456,20.2,43.7,32,51.9,0.888249977,-7.940717514,,Lehigh,Lehigh,,UC Davis
180,Radford,Radford,106.9258673,108.535016,16.4,34.5,30.4,47.8,-1.609148675,-7.960530692,,UAB,UAB,,Radford
190,Quinnipiac,Quinnipiac,102.7136115,105.2999545,16.9,25.1,33.5,47.6,-2.586342994,-8.015719226,,Central Michigan,Central Michigan,,Quinnipiac
191,Temple,Temple,101.2927099,103.9341118,14.3,29.1,33.6,44.1,-2.641401912,-8.099505166,,St. Bonaventure,St. Bonaventure,,Temple
169,Louisiana Lafayette,Louisiana Lafayette,104.834575,105.7047675,16.9,41.9,30,50.3,-0.87019251,-8.178667431,,Lipscomb,Lipscomb,,Louisiana Lafayette
179,Ohio,Ohio,109.3496816,110.991715,14.6,38.7,33.4,51.4,-1.642033417,-8.202890384,,La Salle,La Salle,,Ohio
184,Furman,Furman,104.9046075,107.1099938,17.7,30,35.1,55.8,-2.205386291,-8.257885637,,Auburn,Auburn,,Furman
